Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
168.086534893191,C00259,M+NH4 [1+],436.114,0.000111536809015433,EC00040
173.042485142006,C00259,M+Na [1+],311.846,0.000443712006017449,EC00041
173.042765716879,C00259,M+Na [1+],437.086,0.000724286879005831,EC00040
137.04594151073,C00262,M+H [1+],664.4035,0.000154740730010872,EC00085
137.045981511412,C00262,M+H [1+],480.9735,0.000194741412030908,EC00086
137.045988221984,C00262,M+H [1+],313.914,0.00020145198402588,EC00087
137.045990744662,C00262,M+H [1+],338.123,0.000203974662014161,EC00087
159.027773996837,C00262,M+Na [1+],312.3065,4.52268370167985e-05,EC00087
159.027950039965,C00262,M+Na [1+],481.013,0.000221269965010151,EC00086
175.001771810037,C00262,M+K [1+],481.028,0.000103040037032542,EC00086
163.060094741005,C00267,M-H2O+H [1+],324.459,3.01582350061835e-05,EC0009
181.071016974499,C00267,M+H [1+],348.586,0.000352858499013564,EC0009
181.071018883403,C00267,M+H [1+],438.0305,0.000354767403024425,EC0009
198.097316033729,C00267,M+NH4 [1+],326.893,0.000104917728975806,EC0009
203.052682945384,C00267,M+Na [1+],1724.628,7.68293839996659e-05,EC00010
203.05271998889,C00267,M+Na [1+],277.978,0.000113872890011635,EC00011
203.052728767939,C00267,M+Na [1+],359.36,0.000122651938994522,EC0009
203.052743114194,C00267,M+Na [1+],316.6515,0.000136998193994486,EC0009
219.026700339592,C00267,M+K [1+],277.1125,0.000154223592005565,EC00011
219.026715441331,C00267,M+K [1+],314.3865,0.000169325331000891,EC0009
91.0388998333437,C00267,M+2H [2+],348.515,7.02246562980235e-05,EC0009
91.038935064777,C00267,M+2H [2+],438.0865,3.49932230108152e-05,EC0009
240.108976382901,C00268,M+H [1+],532.285,0.000138924098990856,EC00088
310.113582574825,C00270,M+H [1+],335.126,0.000326574825010084,EC00089
332.095389003078,C00270,M+Na [1+],331.3895,0.00019100307804365,EC00089
348.070767866109,C00270,M+K [1+],306.5855,0.00162986610899907,EC00089
259.151941730529,C00272,M+NH4 [1+],819.2715,0.00062935952900034,EC00090
264.106082031741,C00272,M+Na [1+],791.079,0.000625339259045177,EC00090
269.189770483816,C00280,M-H2O+H [1+],1090.653,0.000186058954000146,EC00091
269.088312355284,C00294,M+H [1+],664.3745,0.000266841284030761,EC00092
269.088320346498,C00294,M+H [1+],337.4575,0.000274832498007527,EC00093
269.088333038253,C00294,M+H [1+],448.997,0.000287524252996718,EC00094
269.088351556091,C00294,M+H [1+],316.406,0.000306042091040126,EC00093
291.070262519676,C00294,M+Na [1+],664.445,0.00027500567603056,EC00092
291.070323842854,C00294,M+Na [1+],315.4805,0.000336328854018575,EC00093
307.044357964975,C00294,M+K [1+],315.593,0.000430450974988617,EC00093
245.077077986123,C00299,M+H [1+],606.485,0.000265860122993899,EC00095
245.077223958118,C00299,M+H [1+],437.1065,0.00041183211800444,EC00096
245.077557212106,C00299,M+H [1+],313.6025,0.000745086106007875,EC00097
267.059015835228,C00299,M+Na [1+],606.9515,0.000261709228027485,EC00095
267.059115969606,C00299,M+Na [1+],309.4365,0.0003618436060151,EC00097
267.059246531029,C00299,M+Na [1+],437.108,0.000492405028978737,EC00096
114.066310744264,C00300,M-H2O+H [1+],289.564,0.000157730494009911,EC00098
132.076845241445,C00300,M+H [1+],322.8895,9.26944450156952e-05,EC00098
132.076877063668,C00300,M+H [1+],292.651,0.000124516668023489,EC00098
154.059108991546,C00300,M+Na [1+],291.672,0.000414444546009918,EC00098
170.033450876791,C00300,M+K [1+],291.998,0.00081632979100732,EC00098
168.086534893191,C00310,M+NH4 [1+],436.114,0.000111536809015433,EC00040
173.042485142006,C00310,M+Na [1+],311.846,0.000443712006017449,EC00041
173.042765716879,C00310,M+Na [1+],437.086,0.000724286879005831,EC00040
175.02404747128,C00311,M-H2O+H [1+],530.7785,0.000368394509990821,EC00058
175.024066846648,C00311,M-H2O+H [1+],338.905,0.000387769877988831,EC00059
193.034464190398,C00311,M+H [1+],530.7405,0.000185580398010643,EC00058
193.0344816297,C00311,M+H [1+],339.032,0.000203019699995366,EC00059
210.061008864527,C00311,M+NH4 [1+],530.706,0.000183254526973542,EC00058
210.061025592308,C00311,M+NH4 [1+],339.48,0.000199982307975688,EC00059
210.061079890316,C00311,M+NH4 [1+],446.166,0.0002542803159713,EC00058
215.016384527159,C00311,M+Na [1+],336.815,0.000163917158999993,EC00059
215.01639792765,C00311,M+Na [1+],530.852,0.000177317649985298,EC00058
215.016421008705,C00311,M+Na [1+],446.922,0.000200398705004545,EC00058
230.990096755849,C00311,M+K [1+],531.694,6.38541509943025e-05,EC00058
230.990368450722,C00311,M+K [1+],336.432,0.000207840721998309,EC00059
168.086534893191,C00312,M+NH4 [1+],436.114,0.000111536809015433,EC00040
173.042485142006,C00312,M+Na [1+],311.846,0.000443712006017449,EC00041
173.042765716879,C00312,M+Na [1+],437.086,0.000724286879005831,EC00040
146.165481034324,C00315,M+H [1+],257.835,0.000307411324001805,EC00099
300.290118341053,C00319,M+H [1+],1171.0445,0.000412908053021965,EC000100
176.103306117151,C00327,M+H [1+],323.132,0.000338820151000618,EC000101
176.10332872955,C00327,M+H [1+],278.984,0.000361432549993879,EC000102
198.085892672479,C00327,M+Na [1+],279.635,0.000983375478995185,EC000102
