MouseID	Batch	Promethion_Position	StartDate	StartTime	EndTime	Cycle_Hrs	Day	Cycle	Age_months	Genotype	ID_code	InitMass_g	BP_kPa	TempC	RH_pct	Avg_EE	Tot_EE	Avg_VO2	Avg_VCO2	Avg_RER	Avg_VH2O	R_EE_30	R_RER_30	QR_EE_30	QR_RER_30	Rdur_hrs	A_EE_15	A_RER_15	QA_EE_15	QA_RER_15	Adur_hrs	AccessA_pct	UptakeA_g	UptakeA_N	UptakeA_Sum	UptakeA_min	InterUptakeA_min	UptakeWA_g	UptakeWA_N	UptakeWA_Sum	UptakeWA_min	InterUptakeWA_min	BodyMass_g	BodyMass_SD	YBreaks	XBreaks	ZBreaks	AllMeters	PedMeters	PedSpeed	Walk_pct	Still_pct	Sleep_pct	Sleep_hrs
6325	mB2	5	2020-09-09	18:04:58	06:05:00	12	3	0	.	.	.	.	96.62253	.	.	0.5180432	6.21695	1.740875	1.603314	0.9142056	0.2197188	0.3123423	0.8297378	0.376733	0.8420115	0.5	0.8790419	0.9551247	0.7607022	0.951911	0.25	0.9142056	0.2261378	36	8.140961	2.906018	15.68905	0.06840072	31	2.120422	1.515591	16.40445	0	0	9350	6562	4628	54.24677	36.94275	0.02452892	8.705414	80.58237	79.98056	9.598056
6320	mB2	7	2020-09-09	18:04:58	06:05:00	12	3	0	.	.	.	.	96.62253	.	.	0.5318176	6.382141	1.778405	1.677156	0.9414009	0.2182493	0.3694886	0.9384665	0.3913286	0.9489062	0.5	0.7764813	0.9737766	0.6553433	0.9389398	0.25	0.9414009	0.1029913	33	3.398713	2.55303	13.45781	0.05541484	42	2.327423	0.6214285	12.1935	0	0	17569	8390	1764	76.87454	50.70743	0.02086074	12.8579	69.16187	55.19061	6.623194
6343	mB3	5	2020-09-24	18:05:55	06:05:57	12	3	0	.	.	.	.	94.8214	.	.	0.5446179	6.535808	1.828727	1.690735	0.9243953	0.2332776	0.352043	0.9504386	0.4604477	0.9557652	0.5	0.8567773	0.9319556	0.7696446	0.9267381	0.25	0.9243953	0.0811506	49	3.976379	2.692177	9.778472	0.09470563	35	3.314697	0.7995238	16.73726	39.19833	0.7361596	11089	6638	8478	70.8009	54.0089	0.02544805	8.913733	73.2426	68.85402	8.262777
6356	mB3	3	2020-09-24	18:05:55	06:05:57	12	3	0	.	.	.	.	94.8214	.	.	0.4709522	5.651672	1.58505	1.448934	0.9128094	0.2214825	0.3420556	0.8738488	0.3669221	0.8871397	0.5	0.8240173	0.9380848	0.6785368	0.9123328	0.25	0.9128094	0.1233368	31	3.823441	2.868817	12.67056	0.1095899	23	2.520568	0.865942	17.33712	41.74248	0.7409083	6152	3556	8968	36.22626	26.08167	0.0268143	4.640881	83.55207	82.04755	9.846111
6347	mB3	7	2020-09-24	18:05:55	06:05:57	12	3	0	.	.	.	.	94.8214	.	.	0.4848819	5.81889	1.635279	1.479866	0.9043264	0.1886986	0.2980916	0.8885919	0.410208	0.8300875	0.5	0.6975607	0.9326363	0.6027513	0.9026654	0.25	0.9043264	0.07403799	39	2.887482	2.570086	13.46798	0.1328056	22	2.921723	0.9659091	28.33889	34.89561	0.4617386	13807	7892	6432	82.79895	61.00537	0.02756786	10.65204	73.64998	66.46992	7.976666
6351	mB3	13	2020-09-24	18:05:55	06:05:57	12	3	0	.	.	.	.	94.8214	.	.	0.5812488	6.975356	1.960198	1.774269	0.9037272	0.2602858	0.3399977	0.8146039	0.3399977	0.8146039	0.5	0.885026	0.9145274	0.7354301	0.9175716	0.25	0.9037272	0.1086517	42	4.563371	1.924603	13.73293	0.08094589	46	3.723511	0.9442029	12.76519	44.44968	0.6434099	10768	10635	6469	76.92902	57.21881	0.02425415	11.58716	73.02271	65.78017	7.894028
6340	mB3	11	2020-09-24	18:05:55	06:05:57	12	3	0	.	.	.	.	94.8214	.	.	0.5487589	6.585514	1.841902	1.706189	0.9259989	0.2582264	0.3658767	0.9533923	0.4689558	0.9014992	0.5	0.8215652	0.9248428	0.7677566	0.9246007	0.25	0.9259989	0.1396191	39	5.445145	2.706838	11.81491	0.1042339	28	2.918549	0.8315476	19.25494	0	0	8212	5276	6096	47.6582	34.90744	0.02661214	5.867648	83.42245	82.54519	9.905833
6342	mB3	12	2020-09-24	18:05:55	06:05:57	12	3	0	.	.	.	.	94.8214	.	.	0.5027676	6.033498	1.687711	1.56256	0.9189314	0.2489968	0.3027157	0.8510225	0.4272387	0.9368997	0.5	0.8267604	0.9675109	0.6856353	0.9641138	0.25	0.9189314	0.07387021	101	7.460891	1.725743	5.265	0.07825255	39	3.051849	0.7576923	16.49079	38.22119	0.862012	11593	6209	7074	56.08673	39.37137	0.02489697	7.487906	67.25922	63.90991	7.669583
6345	mB3	1	2020-09-24	18:05:55	06:05:57	12	3	0	.	.	.	.	94.8214	26.99794	40.7806	0.5811447	6.974078	1.95859	1.778428	0.9038866	0.2530634	0.3448219	0.8733763	0.38238	0.9219952	0.5	0.891857	0.942469	0.7606194	0.927808	0.25	0.9038866	0.1174488	47	5.520093	2.890425	10.47246	0.09587228	35	3.35553	1.324286	16.67892	45.5552	0.8129687	11712	7330	4812	69.71616	48.8212	0.02387386	11.15432	71.33301	67.56707	8.108334
6344	mB3	15	2020-09-24	18:05:55	06:05:57	12	3	0	.	.	.	.	94.8214	.	.	0.5634788	6.762039	1.894599	1.740233	0.9167569	0.2734669	0.3671581	0.8840326	0.4289123	0.935861	0.5	0.8005723	0.9566502	0.7199467	0.9328203	0.25	0.9167569	0.1054825	59	6.223467	2.735311	7.496839	0.06592261	46	3.03244	0.7108696	12.53407	0	0	20029	8437	4440	96.20166	66.13052	0.02104076	14.65639	59.66252	49.0753	5.889306
